input_1,input_2,input_3,label_id,label,split
3339,3933,660,1,GUNTING,train
3927,3868,3206,2,KERTAS,validation
582,328,407,0,BATU,train
180,1057,1011,0,BATU,train
1397,208,3871,3,TIDAK_VALID,test
3759,3733,1020,1,GUNTING,train
3119,3883,188,1,GUNTING,validation
1393,1997,3237,3,TIDAK_VALID,train
1078,4075,2173,3,TIDAK_VALID,train
2946,2951,1092,1,GUNTING,train
915,774,1046,0,BATU,train
2904,3030,3590,2,KERTAS,train
3832,2979,3872,2,KERTAS,test
4034,2945,3549,2,KERTAS,train
3223,3407,842,1,GUNTING,train
577,901,1079,0,BATU,train
3114,172,1281,3,TIDAK_VALID,train
3551,2990,3283,2,KERTAS,validation
617,2926,1924,3,TIDAK_VALID,train
666,3821,4056,3,TIDAK_VALID,test
2774,3929,3184,3,TIDAK_VALID,train
3008,2922,3837,2,KERTAS,train
2571,3784,3915,3,TIDAK_VALID,validation
2903,3271,3737,2,KERTAS,train
3645,1035,1338,3,TIDAK_VALID,train
3657,3884,1059,1,GUNTING,train
789,223,982,0,BATU,test
592,1132,606,0,BATU,train
556,1035,398,0,BATU,train
3925,3796,658,1,GUNTING,test
3151,3841,3418,2,KERTAS,train
3167,2873,3524,2,KERTAS,train
3196,4029,3338,2,KERTAS,train
781,265,1140,0,BATU,validation
276,1309,868,3,TIDAK_VALID,test
3747,3242,1097,1,GUNTING,validation
484,2243,2850,3,TIDAK_VALID,train
1199,491,842,0,BATU,train
2390,347,71,3,TIDAK_VALID,train
3521,1253,1111,3,TIDAK_VALID,train
432,192,729,0,BATU,test
290,60,189,0,BATU,train
4092,3297,15,1,GUNTING,train
825,1180,456,0,BATU,train
3750,3189,3632,2,KERTAS,train
3527,3079,3601,2,KERTAS,train
3949,3422,3215,2,KERTAS,train
3875,3728,3173,2,KERTAS,validation
2751,2650,1093,3,TIDAK_VALID,train
475,2678,558,3,TIDAK_VALID,train
3527,3414,7,1,GUNTING,train
3854,4076,365,1,GUNTING,validation
3715,3078,3469,2,KERTAS,train
305,1123,979,0,BATU,train
839,3594,1193,3,TIDAK_VALID,train
499,1189,1038,0,BATU,validation
719,960,463,0,BATU,train
3637,3392,627,1,GUNTING,train
778,658,207,0,BATU,test
3215,3282,3610,2,KERTAS,train
3691,3233,3138,2,KERTAS,train
870,215,439,0,BATU,train
953,948,465,0,BATU,train
3013,3024,6,1,GUNTING,validation
1313,2610,871,3,TIDAK_VALID,validation
3901,3531,3618,2,KERTAS,validation
625,299,2517,3,TIDAK_VALID,train
552,787,248,0,BATU,train
2888,3007,3200,2,KERTAS,train
3981,2984,875,1,GUNTING,train
3036,2759,1122,3,TIDAK_VALID,validation
1057,1898,1479,3,TIDAK_VALID,train
3310,1205,2381,3,TIDAK_VALID,validation
3069,3148,2085,3,TIDAK_VALID,train
880,934,706,0,BATU,train
3540,2037,287,3,TIDAK_VALID,train
3331,3828,263,1,GUNTING,test
1217,199,982,0,BATU,train
362,940,1077,0,BATU,train
4013,4000,908,1,GUNTING,test
1759,3279,3260,3,TIDAK_VALID,train
1201,506,975,0,BATU,train
3384,3400,931,1,GUNTING,validation
2622,2842,2667,3,TIDAK_VALID,test
1178,494,63,0,BATU,train
3389,3175,426,1,GUNTING,train
486,1529,3825,3,TIDAK_VALID,train
3246,2445,3724,3,TIDAK_VALID,train
1155,1091,955,0,BATU,train
3492,4067,834,1,GUNTING,test
3401,3147,631,1,GUNTING,validation
3207,3420,1026,1,GUNTING,train
4074,3709,128,1,GUNTING,train
3165,3426,4049,2,KERTAS,test
3132,3462,880,1,GUNTING,train
2055,1614,2431,3,TIDAK_VALID,test
3206,3378,716,1,GUNTING,test
1657,225,3525,3,TIDAK_VALID,train
756,533,1079,0,BATU,test
3646,3770,3165,2,KERTAS,train
3374,3021,4071,2,KERTAS,train
892,696,932,0,BATU,train
3910,3064,3908,2,KERTAS,train
1671,480,2706,3,TIDAK_VALID,train
3426,3013,3566,2,KERTAS,train
256,1446,551,3,TIDAK_VALID,train
3719,3662,166,1,GUNTING,train
22,732,284,0,BATU,train
442,276,56,0,BATU,train
3097,2916,448,1,GUNTING,train
2938,3069,4062,2,KERTAS,test
304,262,901,0,BATU,validation
3776,3275,1015,1,GUNTING,train
2921,4092,1068,1,GUNTING,train
3300,3012,4027,2,KERTAS,train
414,745,809,0,BATU,train
574,366,1797,3,TIDAK_VALID,train
386,951,940,0,BATU,train
3537,3002,189,1,GUNTING,test
299,1036,783,0,BATU,train
3025,3387,3345,2,KERTAS,train
3918,3789,1939,3,TIDAK_VALID,train
914,28,1203,0,BATU,train
2762,2861,2150,3,TIDAK_VALID,train
3481,3783,3437,2,KERTAS,train
331,803,182,0,BATU,validation
675,530,769,0,BATU,train
2525,3174,3096,3,TIDAK_VALID,train
411,2095,2385,3,TIDAK_VALID,validation
3273,3211,3894,2,KERTAS,test
1011,1057,690,0,BATU,validation
3479,2400,2596,3,TIDAK_VALID,test
111,278,538,0,BATU,train
3280,3153,3270,2,KERTAS,train
3071,1491,3768,3,TIDAK_VALID,test
3535,3340,865,1,GUNTING,validation
1432,983,3800,3,TIDAK_VALID,test
215,270,570,0,BATU,train
519,688,421,0,BATU,train
481,110,95,0,BATU,train
694,469,231,0,BATU,validation
483,1132,392,0,BATU,train
3385,3742,3807,2,KERTAS,train
3826,2330,2107,3,TIDAK_VALID,train
2979,3075,3829,2,KERTAS,train
3577,3678,2986,2,KERTAS,test
1017,776,931,0,BATU,train
3621,3783,923,1,GUNTING,train
3358,4071,993,1,GUNTING,test
3680,3769,2883,2,KERTAS,validation
1221,386,1161,0,BATU,validation
3979,3835,3973,2,KERTAS,validation
3661,3663,3162,2,KERTAS,test
3509,3357,1743,3,TIDAK_VALID,train
3654,3177,753,1,GUNTING,validation
906,1120,1129,0,BATU,validation
2789,732,2640,3,TIDAK_VALID,train
2938,3839,3859,2,KERTAS,validation
3283,3805,3761,2,KERTAS,train
3243,3397,681,1,GUNTING,train
3536,3199,403,1,GUNTING,train
3943,3333,3200,2,KERTAS,train
3535,3731,2123,3,TIDAK_VALID,train
912,1219,339,0,BATU,validation
805,767,399,0,BATU,test
2675,2280,1006,3,TIDAK_VALID,train
581,1945,2230,3,TIDAK_VALID,test
3631,3800,1191,1,GUNTING,test
716,1221,1217,0,BATU,train
3047,3397,349,1,GUNTING,train
425,5,1041,0,BATU,test
3867,3493,3909,2,KERTAS,train
1226,861,731,0,BATU,train
3605,3553,3769,2,KERTAS,train
3418,311,3033,3,TIDAK_VALID,train
3029,2962,1074,1,GUNTING,train
3561,2919,97,1,GUNTING,train
3708,3002,130,1,GUNTING,train
754,755,513,0,BATU,train
3890,4063,3639,2,KERTAS,validation
567,198,616,0,BATU,train
799,1092,1226,0,BATU,validation
3002,4072,216,1,GUNTING,train
985,958,789,0,BATU,train
933,1935,290,3,TIDAK_VALID,train
3000,4076,614,1,GUNTING,test
3124,3722,316,1,GUNTING,train
1172,756,384,0,BATU,test
1141,1205,52,0,BATU,train
581,884,1178,0,BATU,test
3038,3306,3866,2,KERTAS,test
3183,2871,4054,2,KERTAS,train
752,43,194,0,BATU,train
3724,3339,398,1,GUNTING,train
281,1145,702,0,BATU,train
878,3801,128,3,TIDAK_VALID,train
2952,3472,99,1,GUNTING,train
3378,2898,3214,2,KERTAS,train
2127,568,2577,3,TIDAK_VALID,test
421,218,833,0,BATU,train
751,67,757,0,BATU,train
3412,3521,3770,2,KERTAS,train
289,130,416,0,BATU,train
3558,3228,28,1,GUNTING,train
3404,3560,170,1,GUNTING,train
3672,3150,3123,2,KERTAS,train
2924,3777,3709,2,KERTAS,test
3459,3495,243,1,GUNTING,test
265,265,40,0,BATU,validation
2927,3028,784,1,GUNTING,train
3745,4068,3542,2,KERTAS,train
308,862,287,0,BATU,test
4008,3179,175,1,GUNTING,train
388,89,1161,0,BATU,train
227,3960,714,3,TIDAK_VALID,train
609,136,310,0,BATU,train
1219,1095,920,0,BATU,train
2933,4082,959,1,GUNTING,test
1057,162,755,0,BATU,train
3179,3094,365,1,GUNTING,test
2798,3226,3935,3,TIDAK_VALID,train
1245,3315,3810,3,TIDAK_VALID,train
3116,2481,1884,3,TIDAK_VALID,test
3080,3720,3086,2,KERTAS,train
3639,3093,664,1,GUNTING,validation
3262,2930,102,1,GUNTING,test
530,959,1033,0,BATU,train
3827,3755,1221,1,GUNTING,validation
2366,285,3292,3,TIDAK_VALID,train
1051,230,730,0,BATU,train
665,986,264,0,BATU,test
3322,3390,414,1,GUNTING,test
3750,3714,3476,2,KERTAS,validation
170,348,829,0,BATU,train
3461,3682,1046,1,GUNTING,test
426,23,203,0,BATU,train
3473,3345,1018,1,GUNTING,validation
3194,3323,3386,2,KERTAS,train
3569,3947,149,1,GUNTING,train
3078,3805,3245,2,KERTAS,train
62,176,237,0,BATU,train
2417,3090,49,3,TIDAK_VALID,train
363,117,31,0,BATU,validation
354,889,82,0,BATU,train
3723,4057,3406,2,KERTAS,validation
3372,3361,220,1,GUNTING,train
3502,2873,3649,2,KERTAS,train
3845,3434,3146,2,KERTAS,train
3474,3713,3816,2,KERTAS,train
3743,3546,3942,2,KERTAS,validation
804,322,4014,3,TIDAK_VALID,validation
696,1166,1277,3,TIDAK_VALID,train
3340,3663,187,1,GUNTING,validation
528,531,311,0,BATU,train
2042,3965,756,3,TIDAK_VALID,test
2825,3176,2123,3,TIDAK_VALID,train
3748,3081,714,1,GUNTING,train
1894,3196,983,3,TIDAK_VALID,train
1269,3109,3521,3,TIDAK_VALID,train
1770,1466,3341,3,TIDAK_VALID,train
326,254,456,0,BATU,validation
2971,3495,554,1,GUNTING,train
317,851,1213,0,BATU,train
2943,3375,776,1,GUNTING,validation
1158,1168,505,0,BATU,train
293,3048,2976,3,TIDAK_VALID,train
1474,1056,3230,3,TIDAK_VALID,train
3676,3099,3594,2,KERTAS,test
3491,3102,3846,2,KERTAS,test
2364,4027,388,3,TIDAK_VALID,train
1103,2685,3011,3,TIDAK_VALID,test
3844,3114,3109,2,KERTAS,validation
3131,3730,3538,2,KERTAS,train
3313,1799,1991,3,TIDAK_VALID,test
180,3361,2689,3,TIDAK_VALID,train
3613,3769,944,1,GUNTING,train
526,884,562,0,BATU,validation
3306,3923,3995,2,KERTAS,train
648,461,1192,0,BATU,train
726,836,484,0,BATU,train
3933,3258,921,1,GUNTING,train
3834,3968,835,1,GUNTING,train
4037,2871,3128,2,KERTAS,train
448,1177,1223,0,BATU,train
515,1187,732,0,BATU,train
3970,3346,3259,2,KERTAS,train
3439,3342,1156,1,GUNTING,train
322,1151,296,0,BATU,train
3654,3305,866,1,GUNTING,test
2054,904,1448,3,TIDAK_VALID,train
908,293,825,0,BATU,train
3240,3578,1139,1,GUNTING,validation
2921,3922,2962,2,KERTAS,train
1866,2264,3471,3,TIDAK_VALID,train
3882,2980,3497,2,KERTAS,train
3982,3180,82,1,GUNTING,validation
3751,3085,899,1,GUNTING,train
3854,3670,247,1,GUNTING,test
3001,3564,3286,2,KERTAS,test
3665,941,2134,3,TIDAK_VALID,train
1136,1011,45,0,BATU,train
817,758,3646,3,TIDAK_VALID,train
189,716,351,0,BATU,train
3031,3494,67,1,GUNTING,train
699,1187,581,0,BATU,validation
3105,3947,182,1,GUNTING,train
2312,1472,3393,3,TIDAK_VALID,train
3913,3889,897,1,GUNTING,train
770,576,1078,0,BATU,test
949,382,845,0,BATU,train
3262,227,2763,3,TIDAK_VALID,train
881,978,919,0,BATU,test
3799,3259,47,1,GUNTING,test
3392,3072,426,1,GUNTING,train
3902,3630,692,1,GUNTING,train
2985,4082,1199,1,GUNTING,validation
3604,3238,3398,2,KERTAS,validation
2980,3163,3980,2,KERTAS,validation
755,1144,109,0,BATU,test
2362,2950,523,3,TIDAK_VALID,validation
3204,3713,3027,2,KERTAS,test
892,566,811,0,BATU,train
3732,1741,2,3,TIDAK_VALID,test
3937,1276,3877,3,TIDAK_VALID,validation
3711,4050,1115,1,GUNTING,train
3420,3814,3318,2,KERTAS,train
695,862,796,0,BATU,train
3872,3195,952,1,GUNTING,train
3355,3852,4018,2,KERTAS,train
3826,3283,4028,2,KERTAS,train
3567,2867,792,1,GUNTING,train
4033,3688,672,1,GUNTING,train
3942,3880,1056,1,GUNTING,train
3523,2884,3,1,GUNTING,train
233,152,682,0,BATU,train
4048,3735,1223,1,GUNTING,train
982,605,737,0,BATU,train
212,393,361,0,BATU,train
914,653,585,0,BATU,train
968,227,691,0,BATU,train
962,102,598,0,BATU,train
3212,3040,4048,2,KERTAS,train
861,560,659,0,BATU,test
3252,3897,2960,2,KERTAS,test
436,556,511,0,BATU,train
324,436,429,0,BATU,train
3421,3643,196,1,GUNTING,train
3007,3028,384,1,GUNTING,validation
835,223,829,0,BATU,train
3035,1501,2078,3,TIDAK_VALID,validation
1037,447,2951,3,TIDAK_VALID,train
2098,1362,1771,3,TIDAK_VALID,test
198,828,74,0,BATU,train
3518,3966,703,1,GUNTING,train
3903,3669,3485,2,KERTAS,train
3046,3545,299,1,GUNTING,validation
3943,3461,3899,2,KERTAS,validation
3723,3295,2868,2,KERTAS,validation
3987,3001,563,1,GUNTING,train
342,374,526,0,BATU,train
3792,3033,1136,1,GUNTING,train
4089,3750,268,1,GUNTING,test
1267,677,1529,3,TIDAK_VALID,train
396,813,1137,0,BATU,test
782,502,920,0,BATU,train
740,1053,120,0,BATU,train
857,823,469,0,BATU,validation
3310,3070,277,1,GUNTING,validation
2779,2541,3612,3,TIDAK_VALID,validation
940,2201,3202,3,TIDAK_VALID,test
865,183,655,0,BATU,train
3478,1315,1121,3,TIDAK_VALID,train
422,499,418,0,BATU,validation
656,948,465,0,BATU,train
618,567,761,0,BATU,validation
744,995,552,0,BATU,validation
3559,3389,3201,2,KERTAS,train
582,1767,2143,3,TIDAK_VALID,train
3713,3600,3959,2,KERTAS,train
3165,3514,275,1,GUNTING,train
3016,3729,3842,2,KERTAS,train
3957,3596,3879,2,KERTAS,train
3302,2882,345,1,GUNTING,train
3591,3929,391,1,GUNTING,train
3970,3558,1129,1,GUNTING,train
721,2517,1211,3,TIDAK_VALID,train
3617,3179,187,1,GUNTING,test
3622,3934,444,1,GUNTING,train
3483,3766,3098,2,KERTAS,train
1060,1667,2513,3,TIDAK_VALID,validation
3804,3168,104,1,GUNTING,train
3375,3833,1117,1,GUNTING,train
3855,3752,3307,2,KERTAS,train
803,416,805,0,BATU,train
3182,3671,2127,3,TIDAK_VALID,train
3059,4064,3759,2,KERTAS,train
3603,3175,3618,2,KERTAS,train
2977,3747,307,1,GUNTING,train
2026,3127,1365,3,TIDAK_VALID,train
540,791,750,0,BATU,train
3647,3399,300,1,GUNTING,train
3216,3303,396,1,GUNTING,train
468,370,774,0,BATU,train
2765,1124,1850,3,TIDAK_VALID,validation
214,939,610,0,BATU,train
1180,887,1128,0,BATU,train
3380,3527,1409,3,TIDAK_VALID,validation
379,156,676,0,BATU,train
650,877,433,0,BATU,test
923,838,3291,3,TIDAK_VALID,validation
3632,3498,3833,2,KERTAS,train
1749,409,1642,3,TIDAK_VALID,train
3789,3437,422,1,GUNTING,train
1928,1493,2556,3,TIDAK_VALID,train
3477,3455,33,1,GUNTING,train
2909,3086,3861,2,KERTAS,validation
910,107,759,0,BATU,test
2868,3602,435,1,GUNTING,train
3849,4054,864,1,GUNTING,train
3600,3175,4012,2,KERTAS,train
3845,3646,3392,2,KERTAS,test
3497,2969,3203,2,KERTAS,train
481,1326,1664,3,TIDAK_VALID,test
3093,2983,428,1,GUNTING,train
3307,3629,2910,2,KERTAS,test
303,939,700,0,BATU,test
3765,3792,3347,2,KERTAS,validation
957,354,143,0,BATU,validation
812,530,919,0,BATU,train
3328,288,2343,3,TIDAK_VALID,train
892,648,254,0,BATU,validation
3259,3102,4081,2,KERTAS,train
3001,3181,886,1,GUNTING,test
967,2751,3194,3,TIDAK_VALID,test
2915,4079,1043,1,GUNTING,train
160,3737,2766,3,TIDAK_VALID,validation
29,491,1075,0,BATU,train
2438,2967,688,3,TIDAK_VALID,train
842,468,204,0,BATU,test
3375,3830,511,1,GUNTING,train
3057,3955,453,1,GUNTING,train
3277,2930,3703,2,KERTAS,validation
717,2941,2923,3,TIDAK_VALID,train
3415,3984,2929,2,KERTAS,validation
3508,4053,580,1,GUNTING,validation
1570,3842,1489,3,TIDAK_VALID,train
3556,3288,34,1,GUNTING,test
114,3922,1187,3,TIDAK_VALID,train
3500,3704,2980,2,KERTAS,test
2275,31,773,3,TIDAK_VALID,train
852,2756,1161,3,TIDAK_VALID,test
3332,3890,3118,2,KERTAS,train
733,534,1134,0,BATU,train
3404,3996,1032,1,GUNTING,train
2932,3755,3418,2,KERTAS,train
4047,2995,650,1,GUNTING,train
1087,815,137,0,BATU,train
3242,3130,3148,2,KERTAS,train
2051,2772,690,3,TIDAK_VALID,validation
2084,3990,1709,3,TIDAK_VALID,train
3116,3945,3715,2,KERTAS,train
3459,3168,3954,2,KERTAS,train
3024,3183,3981,2,KERTAS,train
301,873,1046,0,BATU,train
3437,4047,3712,2,KERTAS,test
701,699,282,0,BATU,test
3349,982,53,3,TIDAK_VALID,train
3424,3538,1129,1,GUNTING,train
1929,3483,3952,3,TIDAK_VALID,train
1260,3024,2834,3,TIDAK_VALID,test
3345,3064,339,1,GUNTING,train
3080,3316,195,1,GUNTING,train
4016,3634,585,1,GUNTING,train
966,2897,363,3,TIDAK_VALID,train
4092,3256,3430,2,KERTAS,train
3730,3556,3157,2,KERTAS,validation
2936,3502,3329,2,KERTAS,validation
236,525,164,0,BATU,validation
3606,4066,3537,2,KERTAS,test
3087,3946,872,1,GUNTING,train
2953,2936,1125,1,GUNTING,train
4049,3197,3045,2,KERTAS,test
984,1027,2486,3,TIDAK_VALID,train
3787,3979,4033,2,KERTAS,test
3971,3758,156,1,GUNTING,train
463,1016,170,0,BATU,train
3858,2994,165,1,GUNTING,train
3577,3739,3107,2,KERTAS,train
3872,3774,1180,1,GUNTING,train
3460,3895,377,1,GUNTING,train
613,42,839,0,BATU,train
3915,3599,2949,2,KERTAS,train
2905,3995,3747,2,KERTAS,train
547,830,1033,0,BATU,train
315,1191,964,0,BATU,train
139,1366,3595,3,TIDAK_VALID,validation
3706,2869,830,1,GUNTING,train
3036,3725,1197,1,GUNTING,train
912,1544,2075,3,TIDAK_VALID,train
4086,4018,3395,2,KERTAS,validation
2892,3607,3205,2,KERTAS,test
3979,2971,3265,2,KERTAS,train
3909,3643,3041,2,KERTAS,test
4060,3995,928,1,GUNTING,train
1479,436,3894,3,TIDAK_VALID,validation
1107,933,110,0,BATU,test
209,85,894,0,BATU,train
3234,3731,3363,2,KERTAS,train
3242,2984,641,1,GUNTING,validation
3620,3147,728,1,GUNTING,train
3841,3169,752,1,GUNTING,train
2973,453,4093,3,TIDAK_VALID,train
3964,3030,3946,2,KERTAS,train
308,1169,338,0,BATU,test
3792,4016,143,1,GUNTING,train
2692,2839,3335,3,TIDAK_VALID,train
2307,953,2031,3,TIDAK_VALID,train
560,2298,2800,3,TIDAK_VALID,train
3150,3003,4032,2,KERTAS,train
1899,2799,3940,3,TIDAK_VALID,train
4007,3378,4,1,GUNTING,train
3798,4085,927,1,GUNTING,train
502,530,778,0,BATU,train
3721,3905,886,1,GUNTING,train
64,3679,3243,3,TIDAK_VALID,train
3170,3922,365,1,GUNTING,train
1236,1994,15,3,TIDAK_VALID,train
2898,3562,493,1,GUNTING,validation
3767,3552,890,1,GUNTING,train
1049,396,669,0,BATU,train
1255,3850,3556,3,TIDAK_VALID,train
1129,560,480,0,BATU,validation
394,931,1154,0,BATU,train
2996,3523,1051,1,GUNTING,train
38,481,246,0,BATU,train
4079,3667,860,1,GUNTING,train
685,923,1016,0,BATU,train
1417,2978,2215,3,TIDAK_VALID,train
2939,2715,2897,3,TIDAK_VALID,train
3791,3013,3716,2,KERTAS,train
742,371,123,0,BATU,test
1065,917,1088,0,BATU,train
354,296,101,0,BATU,train
3806,3416,921,1,GUNTING,train
900,2591,1599,3,TIDAK_VALID,validation
222,266,117,0,BATU,train
3352,3165,2115,3,TIDAK_VALID,train
3544,3541,3268,2,KERTAS,test
3429,2922,529,1,GUNTING,train
3485,3536,3770,2,KERTAS,train
3506,287,2317,3,TIDAK_VALID,test
1890,1587,2279,3,TIDAK_VALID,train
1864,2110,3252,3,TIDAK_VALID,train
265,2269,2058,3,TIDAK_VALID,validation
3718,3608,3281,2,KERTAS,train
605,3764,471,3,TIDAK_VALID,train
3399,3372,384,1,GUNTING,train
2297,740,3469,3,TIDAK_VALID,train
3836,3212,854,1,GUNTING,train
3286,3515,3689,2,KERTAS,train
3203,3290,111,1,GUNTING,train
651,236,341,0,BATU,validation
3591,3861,495,1,GUNTING,train
517,1607,3694,3,TIDAK_VALID,train
469,2546,2323,3,TIDAK_VALID,train
3402,3395,603,1,GUNTING,test
1422,1132,2673,3,TIDAK_VALID,train
2255,1269,209,3,TIDAK_VALID,test
3851,3451,3102,2,KERTAS,train
11,2314,2883,3,TIDAK_VALID,train
3815,3949,1747,3,TIDAK_VALID,train
3948,3873,3744,2,KERTAS,train
3601,3394,871,1,GUNTING,train
3628,3398,322,1,GUNTING,validation
3473,3918,947,1,GUNTING,train
3290,3246,2722,3,TIDAK_VALID,train
3200,3616,437,1,GUNTING,test
3221,3522,645,1,GUNTING,train
693,183,498,0,BATU,test
3946,3280,834,1,GUNTING,train
3583,2868,3206,2,KERTAS,test
3622,3960,740,1,GUNTING,train
3617,4068,90,1,GUNTING,validation
606,1193,468,0,BATU,train
1219,512,662,0,BATU,test
4011,3379,3748,2,KERTAS,train
200,841,417,0,BATU,train
1042,840,240,0,BATU,validation
2868,3449,48,1,GUNTING,train
58,352,172,0,BATU,train
3287,3964,1139,1,GUNTING,test
463,884,1090,0,BATU,train
2432,597,1545,3,TIDAK_VALID,test
820,145,3710,3,TIDAK_VALID,train
353,3465,33,3,TIDAK_VALID,train
3721,1591,2085,3,TIDAK_VALID,train
3973,3916,66,1,GUNTING,train
3125,3246,250,1,GUNTING,train
3047,3379,529,1,GUNTING,test
3817,3896,4024,2,KERTAS,train
144,2905,4032,3,TIDAK_VALID,train
3756,4049,3123,2,KERTAS,train
3252,3526,3284,2,KERTAS,train
2751,1924,3315,3,TIDAK_VALID,validation
307,171,1057,0,BATU,train
635,745,452,0,BATU,test
1365,1411,2172,3,TIDAK_VALID,validation
521,1801,12,3,TIDAK_VALID,validation
614,2596,3557,3,TIDAK_VALID,train
254,519,216,0,BATU,train
3687,771,448,3,TIDAK_VALID,validation
753,3253,3542,3,TIDAK_VALID,validation
485,967,1122,0,BATU,train
4034,3388,3835,2,KERTAS,train
3216,4082,2937,2,KERTAS,train
3783,3851,1076,1,GUNTING,train
3408,3581,288,1,GUNTING,train
3854,3155,905,1,GUNTING,validation
3572,3450,653,1,GUNTING,train
1131,203,350,0,BATU,train
3884,3037,1118,1,GUNTING,train
3866,3064,812,1,GUNTING,train
3729,4083,3754,2,KERTAS,train
2878,3400,2976,2,KERTAS,train
1649,371,1529,3,TIDAK_VALID,validation
1589,232,1674,3,TIDAK_VALID,train
379,1171,357,0,BATU,validation
3280,3949,2571,3,TIDAK_VALID,validation
3466,3972,3464,2,KERTAS,test
1073,852,49,0,BATU,train
2669,2515,223,3,TIDAK_VALID,train
3460,3140,3709,2,KERTAS,train
3311,4009,1150,1,GUNTING,test
518,1669,1255,3,TIDAK_VALID,train
3553,3276,3714,2,KERTAS,validation
3004,3182,3091,2,KERTAS,train
722,287,1343,3,TIDAK_VALID,validation
1698,1372,2522,3,TIDAK_VALID,validation
530,735,1103,0,BATU,train
3109,2971,3152,2,KERTAS,train
3680,3641,1155,1,GUNTING,train
4048,3823,767,1,GUNTING,validation
488,718,157,0,BATU,train
3380,3608,4041,2,KERTAS,train
821,557,3024,3,TIDAK_VALID,test
1044,2137,61,3,TIDAK_VALID,train
3982,3741,2929,2,KERTAS,train
3983,3730,4016,2,KERTAS,train
1429,1606,3063,3,TIDAK_VALID,train
3827,3236,765,1,GUNTING,validation
1149,574,242,0,BATU,train
4027,3122,839,1,GUNTING,train
3564,3035,693,1,GUNTING,train
3390,2984,868,1,GUNTING,validation
860,384,1022,0,BATU,train
3066,3887,2061,3,TIDAK_VALID,test
3909,3489,274,1,GUNTING,train
1027,3531,1572,3,TIDAK_VALID,train
3634,3128,3417,2,KERTAS,train
3523,3060,3419,2,KERTAS,train
3783,1808,1713,3,TIDAK_VALID,validation
3487,3140,3332,2,KERTAS,train
3574,3309,750,1,GUNTING,train
3433,3669,626,1,GUNTING,train
3866,933,2768,3,TIDAK_VALID,train
1082,887,44,0,BATU,test
3924,3242,2279,3,TIDAK_VALID,test
3120,3250,219,1,GUNTING,train
561,475,444,0,BATU,train
806,44,7,0,BATU,train
3806,3832,3721,2,KERTAS,train
3390,3576,1968,3,TIDAK_VALID,train
3614,3195,273,1,GUNTING,train
17,282,162,0,BATU,train
3267,3209,190,1,GUNTING,validation
3143,3211,543,1,GUNTING,train
2915,3724,4089,2,KERTAS,test
3823,3600,3861,2,KERTAS,train
2877,3327,3882,2,KERTAS,test
2578,3460,2264,3,TIDAK_VALID,train
722,882,544,0,BATU,train
417,1022,2435,3,TIDAK_VALID,train
1222,1072,1093,0,BATU,train
4087,2877,870,1,GUNTING,validation
4066,2873,3749,2,KERTAS,train
3144,3511,1140,1,GUNTING,train
2952,3008,3645,2,KERTAS,train
607,369,586,0,BATU,train
2080,1742,2872,3,TIDAK_VALID,train
3188,2990,904,1,GUNTING,validation
3092,3413,3099,2,KERTAS,train
